Title,Latitude,Longitude
<b>Bosso Ville</b></br>Departement: <b>Bosso</b></br>Commune: <b>Bosso</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>861</b></br>Totale de menages hote (RGPH2012):<b>871</b>,13.69812187,13.31106997
<b>Boulagana</b></br>Departement: <b>Bosso</b></br>Commune: <b>Bosso</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>205</b></br>Totale de menages hote (RGPH2012):<b>221</b>,13.677252,13.294001
<b>Boula Harde</b></br>Departement: <b>Bosso</b></br>Commune: <b>Toumour</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>1</b></br>Totale de menages hote (RGPH2012):<b>0</b>,13.6582282,13.01994252
<b>Bourbourwa</b></br>Departement: <b>Bosso</b></br>Commune: <b>Toumour</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>53</b></br>Totale de menages hote (RGPH2012):<b>6</b>,13.9709364,12.48488908
<b>Chenal</b></br>Departement: <b>Bosso</b></br>Commune: <b>Toumour</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>27</b></br>Totale de menages hote (RGPH2012):<b>27</b>,13.68794641,13.05931006
<b>Djariho</b></br>Departement: <b>Bosso</b></br>Commune: <b>Toumour</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>290</b></br>Totale de menages hote (RGPH2012):<b>0</b>,13.89171304,12.75431244
<b>Fourdi</b></br>Departement: <b>Bosso</b></br>Commune: <b>Toumour</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>83</b></br>Totale de menages hote (RGPH2012):<b>53</b>,13.7634987,12.60568737
<b>Guworso</b></br>Departement: <b>Bosso</b></br>Commune: <b>Toumour</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>218</b></br>Totale de menages hote (RGPH2012):<b>0</b>,13.72464408,13.13602665
<b>Kacharcho</b></br>Departement: <b>Bosso</b></br>Commune: <b>Toumour</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>160</b></br>Totale de menages hote (RGPH2012):<b>0</b>,13.69500225,13.17664347
<b>Kakarwa</b></br>Departement: <b>Bosso</b></br>Commune: <b>Toumour</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>44</b></br>Totale de menages hote (RGPH2012):<b>0</b>,13.733696,13.088377
<b>N'Djaba</b></br>Departement: <b>Bosso</b></br>Commune: <b>Toumour</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>1</b></br>Totale de menages hote (RGPH2012):<b>0</b>,13.67836349,13.09300873
<b>Ngadado</b></br>Departement: <b>Bosso</b></br>Commune: <b>Toumour</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>64</b></br>Totale de menages hote (RGPH2012):<b></b>,13.67976817,13.01664712
<b>Ngouba</b></br>Departement: <b>Bosso</b></br>Commune: <b>Toumour</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>80</b></br>Totale de menages hote (RGPH2012):<b>0</b>,13.66685689,13.18844302
<b>Nguellehol</b></br>Departement: <b>Bosso</b></br>Commune: <b>Toumour</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>52</b></br>Totale de menages hote (RGPH2012):<b>271</b>,13.642035,13.237773
<b>Toumour</b></br>Departement: <b>Bosso</b></br>Commune: <b>Toumour</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>7062</b></br>Totale de menages hote (RGPH2012):<b>795</b>,13.6582282,13.01994252
<b>Boudouri</b></br>Departement: <b>Diffa</b></br>Commune: <b>Chetimari</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>2535</b></br>Totale de menages hote (RGPH2012):<b>7</b>,13.2684486,12.49002431
<b>Chetimari</b></br>Departement: <b>Diffa</b></br>Commune: <b>Chetimari</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>2394</b></br>Totale de menages hote (RGPH2012):<b>257</b>,13.18524801,12.42433442
<b>Gagamari</b></br>Departement: <b>Diffa</b></br>Commune: <b>Chetimari</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>948</b></br>Totale de menages hote (RGPH2012):<b>250</b>,13.20723369,12.42212144
<b>Maïna Kaderi</b></br>Departement: <b>Diffa</b></br>Commune: <b>Chetimari</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>958</b></br>Totale de menages hote (RGPH2012):<b>250</b>,13.22164301,12.43360505
<b>Mourimadi</b></br>Departement: <b>Diffa</b></br>Commune: <b>Chetimari</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>201</b></br>Totale de menages hote (RGPH2012):<b>220</b>,13.19044768,12.40247163
<b>Ngourtoua</b></br>Departement: <b>Diffa</b></br>Commune: <b>Chetimari</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>1031</b></br>Totale de menages hote (RGPH2012):<b>113</b>,13.17417345,12.36047238
<b>Sayam Forage</b></br>Departement: <b>Diffa</b></br>Commune: <b>Chetimari</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>2824</b></br>Totale de menages hote (RGPH2012):<b>0</b>,13.63420134,12.50814728
<b>Adjimeri</b></br>Departement: <b>Diffa</b></br>Commune: <b>Diffa</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>698</b></br>Totale de menages hote (RGPH2012):<b>6327</b>,13.32054743,12.59990385
<b>Awaridi</b></br>Departement: <b>Diffa</b></br>Commune: <b>Diffa</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>457</b></br>Totale de menages hote (RGPH2012):<b>18</b>,13.341952,12.588697
<b>Diffa Koura</b></br>Departement: <b>Diffa</b></br>Commune: <b>Diffa</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>534</b></br>Totale de menages hote (RGPH2012):<b>6327</b>,13.32222832,12.61683543
<b>Dubaï</b></br>Departement: <b>Diffa</b></br>Commune: <b>Diffa</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>449</b></br>Totale de menages hote (RGPH2012):<b>6327</b>,13.30812761,12.59268994
<b>Festival</b></br>Departement: <b>Diffa</b></br>Commune: <b>Diffa</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>686</b></br>Totale de menages hote (RGPH2012):<b>6327</b>,13.30875931,12.61392717
<b>Kayawa</b></br>Departement: <b>Diffa</b></br>Commune: <b>Diffa</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>114</b></br>Totale de menages hote (RGPH2012):<b>42</b>,13.32905454,12.66672126
<b>Sabon Carré</b></br>Departement: <b>Diffa</b></br>Commune: <b>Diffa</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>297</b></br>Totale de menages hote (RGPH2012):<b>6327</b>,13.30369564,12.60109114
<b>Assaga</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>1592</b></br>Totale de menages hote (RGPH2012):<b>0</b>,13.37701768,12.68770345
<b>Dewa Fide</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>8</b></br>Totale de menages hote (RGPH2012):<b>0</b>,13.4301669,12.7862207
<b>Djalori</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>856</b></br>Totale de menages hote (RGPH2012):<b>14</b>,13.38334994,12.71268421
<b>El Hadji Mainari</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>1059</b></br>Totale de menages hote (RGPH2012):<b>3</b>,13.44213704,12.7887266
<b>Galari</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>3</b></br>Totale de menages hote (RGPH2012):<b>433</b>,13.48696268,12.84314253
<b>Garin Dogo</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>475</b></br>Totale de menages hote (RGPH2012):<b>143</b>,13.41353766,12.77059674
<b>Garin Wanzam</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>2652</b></br>Totale de menages hote (RGPH2012):<b>20</b>,13.64472854,12.90453498
<b>Gueskerou</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>519</b></br>Totale de menages hote (RGPH2012):<b>433</b>,13.48696268,12.84314253
<b>Kangouri Mamadou</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>232</b></br>Totale de menages hote (RGPH2012):<b>15</b>,13.53967519,12.84289561
<b>Kazalmari</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>6</b></br>Totale de menages hote (RGPH2012):<b>433</b>,13.48696268,12.84314253
<b>Kindjandi</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>5325</b></br>Totale de menages hote (RGPH2012):<b>195</b>,13.73722618,12.93185215
<b>Kindjandi Arabe</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>28</b></br>Totale de menages hote (RGPH2012):<b>69</b>,13.74500854,12.91901164
<b>Koura Bori</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>8</b></br>Totale de menages hote (RGPH2012):<b>433</b>,13.48696268,12.84314253
<b>Ngagam</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>2767</b></br>Totale de menages hote (RGPH2012):<b>88</b>,13.56471718,12.86672163
<b>Ngayami</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>239</b></br>Totale de menages hote (RGPH2012):<b>11</b>,13.528783,12.890183
<b>Ngoui Koura</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>93</b></br>Totale de menages hote (RGPH2012):<b>62</b>,13.37339264,12.67208157
<b>N'Gouli</b></br>Departement: <b>Diffa</b></br>Commune: <b>Gueskerou</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>93</b></br>Totale de menages hote (RGPH2012):<b>62</b>,13.36008333,12.69578333
<b>Goudoumaria</b></br>Departement: <b>Goudoumaria</b></br>Commune: <b>Goudoumaria</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>164</b></br>Totale de menages hote (RGPH2012):<b>814</b>,13.71042111,11.18531155
<b>Beyinga Malam Abdourou</b></br>Departement: <b>Maïné-Soroa</b></br>Commune: <b>Foulatari</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>39</b></br>Totale de menages hote (RGPH2012):<b>0</b>,13.59417722,11.88446491
<b>Foulatari</b></br>Departement: <b>Maïné-Soroa</b></br>Commune: <b>Foulatari</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>3</b></br>Totale de menages hote (RGPH2012):<b>108</b>,13.55106944,12.05627623
<b>Ousseiniram</b></br>Departement: <b>Maïné-Soroa</b></br>Commune: <b>Foulatari</b></br>Type du Site: <b></b></br>Totale de menages deplaces :<b>37</b></br>Totale de menages hote (RGPH2012):<b>10</b>,13.56582619,12.15825748
<b>Abdouri</b></br>Departement: <b>Maïné-Soroa</b></br>Commune: <b>Maïné-Soroa</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>229</b></br>Totale de menages hote (RGPH2012):<b>2083</b>,13.20845899,12.03001314
<b>Boudji Kolomi</b></br>Departement: <b>Maïné-Soroa</b></br>Commune: <b>Maïné-Soroa</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>15</b></br>Totale de menages hote (RGPH2012):<b>2083</b>,13.2134667,12.0291167
<b>Djambourou Dune</b></br>Departement: <b>Maïné-Soroa</b></br>Commune: <b>Maïné-Soroa</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>356</b></br>Totale de menages hote (RGPH2012):<b>2083</b>,13.2188553,12.0291935
<b>Embranchement Tam</b></br>Departement: <b>Maïné-Soroa</b></br>Commune: <b>Maïné-Soroa</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>306</b></br>Totale de menages hote (RGPH2012):<b>22</b>,13.1946334,12.12170802
<b>Guidan Kadji</b></br>Departement: <b>Maïné-Soroa</b></br>Commune: <b>Maïné-Soroa</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>690</b></br>Totale de menages hote (RGPH2012):<b>2083</b>,13.2176,12.0468
<b>Issari Bagara</b></br>Departement: <b>Maïné-Soroa</b></br>Commune: <b>Maïné-Soroa</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>0</b></br>Totale de menages hote (RGPH2012):<b>64</b>,13.17516528,12.22799467
<b>Kouble Iguire</b></br>Departement: <b>Maïné-Soroa</b></br>Commune: <b>Maïné-Soroa</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>222</b></br>Totale de menages hote (RGPH2012):<b>87</b>,13.18290986,12.20309594
<b>Marche de Bétail</b></br>Departement: <b>Maïné-Soroa</b></br>Commune: <b>Maïné-Soroa</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>0</b></br>Totale de menages hote (RGPH2012):<b>2083</b>,13.21709873,12.04648851
<b>Site Aveugle</b></br>Departement: <b>Maïné-Soroa</b></br>Commune: <b>Maïné-Soroa</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>168</b></br>Totale de menages hote (RGPH2012):<b>2083</b>,13.2149299,12.0322045
<b>Adjiri</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>0</b></br>Totale de menages hote (RGPH2012):<b>0</b>,14.049352,12.996984
<b>Ari Koukori</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>Kabalewa</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>194</b></br>Totale de menages hote (RGPH2012):<b>0</b>,13.98024964,12.94857216
<b>Camp de Kabalewa</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>Kabalewa</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>0</b></br>Totale de menages hote (RGPH2012):<b>0</b>,13.9858673,13.00097065
<b>Kabalewa</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>Kabalewa</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>1864</b></br>Totale de menages hote (RGPH2012):<b>428</b>,13.97766337,12.97994179
<b>Kadjidja</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>Kabalewa</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>8</b></br>Totale de menages hote (RGPH2012):<b>81</b>,13.92946848,12.87672664
<b>Kaoua</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>Kabalewa</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>21</b></br>Totale de menages hote (RGPH2012):<b>43</b>,14.06059904,12.90726012
<b>Oudi Peulh</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>Kabalewa</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>48</b></br>Totale de menages hote (RGPH2012):<b>106</b>,14.1298329,12.97924549
<b>Tchetcheno</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>Kabalewa</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>122</b></br>Totale de menages hote (RGPH2012):<b>31</b>,13.995383,13.046467
<b>Baram Dawe</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>104</b></br>Totale de menages hote (RGPH2012):<b>20</b>,14.34827116,13.21087663
<b>Bijouram</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>106</b></br>Totale de menages hote (RGPH2012):<b>0</b>,14.39295212,13.28309055
<b>Bonegral</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>35</b></br>Totale de menages hote (RGPH2012):<b>134</b>,14.211885,13.064932
<b>Boula Brin</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>823</b></br>Totale de menages hote (RGPH2012):<b>22</b>,14.42811578,13.41606205
<b>Djakime1</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>641</b></br>Totale de menages hote (RGPH2012):<b>0</b>,14.41591668,13.46434691
<b>Djakime2</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>263</b></br>Totale de menages hote (RGPH2012):<b>0</b>,14.41964998,13.44670515
<b>Fanta Kaléram</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>19</b></br>Totale de menages hote (RGPH2012):<b>13</b>,14.46914094,13.43967728
<b>Faya</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>161</b></br>Totale de menages hote (RGPH2012):<b>0</b>,14.46433676,13.39857606
<b>Gagala</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>346</b></br>Totale de menages hote (RGPH2012):<b>96</b>,14.19180451,13.02766446
<b>Gagala Peulh</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>368</b></br>Totale de menages hote (RGPH2012):<b>96</b>,14.17836743,13.02576665
<b>Inji Jouma</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>Isolé</b></br>Totale de menages deplaces :<b>477</b></br>Totale de menages hote (RGPH2012):<b>0</b>,14.057211,12.999256
<b>Kangouri</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>114</b></br>Totale de menages hote (RGPH2012):<b>26</b>,14.4078663,13.31347646
<b>Klakamana</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>167</b></br>Totale de menages hote (RGPH2012):<b>133</b>,14.23058639,13.08498645
<b>Koudo Kindila</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>274</b></br>Totale de menages hote (RGPH2012):<b>52</b>,14.27991442,13.14376437
<b>Koulbou Koura</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>66</b></br>Totale de menages hote (RGPH2012):<b>36</b>,14.40376287,13.41689149
<b>Koura Kindilla</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>15</b></br>Totale de menages hote (RGPH2012):<b>52</b>,14.27991442,13.14376437
<b>Koutou</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>0</b></br>Totale de menages hote (RGPH2012):<b>29</b>,14.284203,13.199218
<b>Koutou2</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>66</b></br>Totale de menages hote (RGPH2012):<b>52</b>,14.31641765,13.17414475
<b>Lari-Kanori</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>8</b></br>Totale de menages hote (RGPH2012):<b>20</b>,14.33583223,13.18763771
<b>Malam Yari</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>241</b></br>Totale de menages hote (RGPH2012):<b>6</b>,14.41258592,13.38254728
<b>N'Guigmi</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>2739</b></br>Totale de menages hote (RGPH2012):<b>133</b>,14.25448,13.101235
<b>Rimi Blakoura</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>A proximité d'un village</b></br>Totale de menages deplaces :<b>74</b></br>Totale de menages hote (RGPH2012):<b>31</b>,14.37850991,13.25669349
<b>Woudje/Malayari</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b>Integré à un village</b></br>Totale de menages deplaces :<b>12</b></br>Totale de menages hote (RGPH2012):<b>6</b>,14.412585,13.382548
<b>Wouye Kalboukoura</b></br>Departement: <b>N'Guigmi</b></br>Commune: <b>N'Guigmi</b></br>Type du Site: <b></b></br>Totale de menages deplaces :<b>28</b></br>Totale de menages hote (RGPH2012):<b></b>,13.89171304,12.75431244
